#BGC Name	Family Number
10_NZ_CM003601.1.region028	27
10_NZ_CM003601.1.region032	31
1_NZ_CP086102.1.region002	31
6_NZ_BMVK01000010.region001	31
BGC0000175	31
11_c00001_NZ_JAPE...region014	46
12_c00002_NZ_JAPE...region013	46
1_NZ_CP086102.1.region020	46
2_c00001_NZ_JAPE...region014	46
4_c00002_NZ_JAPE...region001	46
11_c00001_NZ_JAPE...region028	79
12_c00001_NZ_JAPE...region009	79
2_c00001_NZ_JAPE...region028	79
11_c00001_NZ_JAPE...region017	89
12_c00001_NZ_JAPE...region019	89
15_c00129_NZ_JAGM...region001	89
2_c00001_NZ_JAPE...region017	89
4_c00008_NZ_JAPE...region007	89
11_c00001_NZ_JAPE...region015	103
12_c00002_NZ_JAPE...region014	103
15_c00160_NZ_JAGM...region001	103
2_c00001_NZ_JAPE...region015	103
48_c00001_NZ_JAPE...region014	103
4_c00005_NZ_JAPE...region002	103
7_NZ_CP080029.1.region012	103
7_NZ_CP080029.1.region013	103
user_1_contig01.region020	103
10_NZ_CM003601.1.region030	108
11_c00001_NZ_JAPE...region033	108
12_c00001_NZ_JAPE...region004	108
15_c00020_NZ_JAGM...region001	108
29_NZ_BMTW01000006.region001	108
2_c00001_NZ_JAPE...region033	108
32_NZ_JOGA01000018.region002	108
36_NZ_JYBE02000001.region003	108
47_NZ_CP032543.1.region029	108
4_c00006_NZ_JAPE...region011	108
6_NZ_BMVK01000009.region002	108
7_NZ_CP080029.1.region030	108
8_NZ_CP127386.1.region028	108
user_1_contig01.region004	108
10_NZ_CM003601.1.region001	115
11_c00001_NZ_JAPE...region001	115
12_c00002_NZ_JAPE...region001	115
15_c00055_NZ_JAGM...region001	115
1_NZ_CP086102.1.region033	115
29_NZ_BMTW01000019.region002	115
2_c00001_NZ_JAPE...region001	115
32_NZ_JOGA01000022.region002	115
42_NZ_BNBJ01000014.region003	115
48_c00003_NZ_JAPE...region001	115
4_c00011_NZ_JAPE...region005	115
5_NZ_JOEZ01000037.region001	115
6_NZ_BMVK01000012.region001	115
7_NZ_CP080029.1.region001	115
8_NZ_CP127386.1.region001	115
9_NZ_JNXS01000038.region001	115
10_NZ_CM003601.1.region012	125
11_c00001_NZ_JAPE...region011	125
12_c00002_NZ_JAPE...region010	125
15_c00085_NZ_JAGM...region002	125
1_NZ_CP086102.1.region022	125
29_NZ_BMTW01000008.region001	125
2_c00001_NZ_JAPE...region011	125
32_NZ_JOGA01000003.region001	125
36_NZ_JYBE02000001.region018	125
47_NZ_CP032543.1.region010	125
48_c00001_NZ_JAPE...region007	125
4_c00009_NZ_JAPE...region004	125
52_NZ_JOJE01000015.region001	125
6_NZ_BMVK01000017.region002	125
7_NZ_CP080029.1.region010	125
8_NZ_CP127386.1.region010	125
user_1_contig01.region021	125
10_NZ_CM003601.1.region009	126
11_c00001_NZ_JAPE...region008	126
12_c00002_NZ_JAPE...region007	126
15_c00087_NZ_JAGM...region001	126
1_NZ_CP086102.1.region025	126
2_c00001_NZ_JAPE...region008	126
46_NZ_UHID01000005.region005	126
5_NZ_JOEZ01000027.region001	126
6_NZ_BMVK01000001.region001	126
7_NZ_CP080029.1.region008	126
8_NZ_CP127386.1.region008	126
15_c00135_NZ_JAGM...region001	136
15_c00144_NZ_JAGM...region001	139
15_c00152_NZ_JAGM...region001	141
17_NZ_JOFA01000026.region002	243
18_NZ_CP070249.1.region012	243
19_NZ_JNZZ01000030.region001	243
20_NZ_JOFG01000016.region001	243
21_NZ_JOAC01000016.region001	243
22_NZ_JOBQ01000010.region001	243
23_NZ_CP070260.1.region020	243
24_NZ_CP070254.1.region012	243
25_NZ_CP070242.1.region012	243
27_NZ_CP070245.1.region021	243
28_c00006_NZ_JAJD...region002	243
31_NZ_JOIT01000014.region001	243
35_NZ_JOFE01000024.region001	243
39_NZ_JOFF01000042.region001	243
41_NZ_JODO01000027.region001	243
46_NZ_UHID01000009.region001	243
51_NZ_LGUZ01000050.region001	243
57_NZ_JOFD01000031.region001	243
1_NZ_CP086102.1.region007	254
29_NZ_BMTW01000015.region001	254
36_NZ_JYBE02000001.region004	254
1_NZ_CP086102.1.region024	271
17_NZ_JOFA01000009.region001	281
18_NZ_CP070249.1.region017	281
19_NZ_JNZZ01000023.region001	281
20_NZ_JOFG01000001.region001	281
22_NZ_JOBQ01000009.region001	281
23_NZ_CP070260.1.region015	281
24_NZ_CP070254.1.region017	281
25_NZ_CP070242.1.region017	281
27_NZ_CP070245.1.region016	281
35_NZ_JOFE01000006.region001	281
41_NZ_JODO01000006.region001	281
51_NZ_LGUZ01000092.region001	281
57_NZ_JOFD01000014.region001	281
17_NZ_JOFA01000001.region001	362
18_NZ_CP070249.1.region026	362
19_NZ_JNZZ01000002.region001	362
20_NZ_JOFG01000003.region001	362
21_NZ_JOAC01000004.region004	362
22_NZ_JOBQ01000005.region001	362
23_NZ_CP070260.1.region007	362
24_NZ_CP070254.1.region026	362
25_NZ_CP070242.1.region026	362
27_NZ_CP070245.1.region007	362
28_c00007_NZ_JAJD...region004	362
31_NZ_JOIT01000003.region001	362
35_NZ_JOFE01000004.region003	362
39_NZ_JOFF01000002.region001	362
41_NZ_JODO01000003.region001	362
51_NZ_LGUZ01000037.region001	362
57_NZ_JOFD01000006.region001	362
17_NZ_JOFA01000020.region001	374
18_NZ_CP070249.1.region009	374
19_NZ_JNZZ01000018.region001	374
20_NZ_JOFG01000015.region001	374
21_NZ_JOAC01000025.region001	374
22_NZ_JOBQ01000018.region001	374
23_NZ_CP070260.1.region023	374
24_NZ_CP070254.1.region009	374
25_NZ_CP070242.1.region009	374
27_NZ_CP070245.1.region024	374
28_c00011_NZ_JAJD...region001	374
29_NZ_BMTW01000010.region001	374
